polish,english
nie,no
to,this
się,myself
w,in
na,on
i,and
że,that
z,With
co,What
jest,is
do,down
tak,Yes
o,about
jak,how
ale,but
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
tylko,just
czy,if
tu,here
może,maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,you are
już,already
jeśli,if
dla,for
wiem,I know
coś,something
dobrze,okay
więc,so
od,from
teraz,now
pan,Mr
wszystko,all
być,to be
będzie,will be
masz,you have
nic,Thread
tam,over there
mogę,I can
proszę,please
jej,her
są,are
gdzie,where
kiedy,when
ten,this
on,he
ciebie,you
by,so
sobie,herself
ze,with
był,was
wiesz,you know
bardzo,very
było,was
przez,by
jego,his
ją,I
chcę,want
dlaczego,why
pani,you
jeszcze,still
mój,my
nas,us
żeby,in order to
no,yeah
bo,because
chcesz,you want
ich,their
też,also
tutaj,here
naprawdę,really
nigdy,never
mamy,we have
kto,who
możesz,you can
dobra,Okay
przepraszam,sorry
mu,him
gdy,when
muszę,I have to
porządku,order
dziękuję,thank you
nawet,even
chyba,I guess
domu,house
ona,she
prawda,true
zrobić,to do
była,was
właśnie,exactly
będę,I'll be
zawsze,always
hej,Hi
nim,him
nam,U.S
te,these
moja,my
musisz,you have to
je,them
dzięki,thanks
bez,without
tej,this
trochę,a bit
ktoś,someone
panie,ladies
jesteśmy,we're
moje,my
powiedzieć,tell
który,which
czas,time
więcej,more
twój,your
musimy,we must
lat,years
ta,this
chce,I want
możemy,We can
wszyscy,all
tobą,you
albo,or
prostu,just
chodzi,it comes
razem,together
stało,stood
cześć,hi
mną,me
czego,what
sam,alone
myślę,I think
pana,Mr
przed,before
boże,God
raz,once
czemu,why
będziesz,you will
niż,than
ludzie,people
dalej,next
czym,what
was,mustache
dobry,good
przy,by
ludzi,people
dzień,day
życie,life
lepiej,better
miał,had
rzeczy,stuff
twoja,your
czasu,time
ok,okay
temu,ago
robisz,you do
myślisz,you think
kim,Who is
niech,let
które,which
oczywiście,of course
siebie,myself
niego,him
cóż,well
powiedział,He said
u,at
daj,give
moim,my
chodź,come on
musi,has to
my,we
nikt,no one
twoje,your
tych,these
pod,under
dlatego,this is why
pewnie,sure
powiedz,say
aby,to
wtedy,then
wygląda,looks like
jeden,one
mojego,my
im,them
mówi,says
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
potem,later
wie,knows
takie,such
nią,her
wszystkie,all
znaczy,means
rozumiem,I understand
dzieje,history
moją,my
będziemy,we will be
wiele,many
stąd,hence
oni,they
mojej,mine
miejsce,place
iść,to go
kilka,a few
pomóc,help
dużo,a lot of
ile,how much
jasne,bright
byłem,I was
swoje,own
myśli,thinks
cały,whole
skąd,from where
wiedzieć,know
dzieci,kids
nich,them
która,which
wam,you
przykro,sorry
można,you can
jakieś,some
tę,these
wszystkich,all
nad,above
jakiś,some
sposób,way
trzeba,it's necessary to
mają,have
niej,her
pracy,work
kogoś,someone
tyle,so much
robić,do
bardziej,more
mówisz,you speak
zanim,before
zbyt,too
